sentiment,negative_reason,cleaned_text,political_party,label
positive,,least 'toole trudeau agree one thing : solution labour shortage increasing money give rich people decreasing money give not-rich people .,liberal,1
positive,,@ bairdlet agreed ! ! ! meantime feel free reach second opinion anything think red flag . ’ providing service pal year 🤣,other,1
positive,,otoole ’ best offer canada ! ! thank ! # nevervoteconservative,conservative,1
positive,,love ! ! ! ! # canada # canadaelection # ontario,other,1
positive,,love election season . sitting back watching every lose mind satisfying .,other,1
positive,,"canadian federal election debate , nice respectful debater 😂",other,1
positive,,"@ whittakertp @ cpc_hq , , , . mulcair said . otoole debate . quel bordel ! # voteliberal",liberal,1
negative,others,"@ kayabagaarielle @ justintrudeau @ cafreeland @ londonbrewingco @ katemariegraham @ jesse_helmer ' joke , ' nothing cynical liberal party canada election campaign",liberal,0
positive,,one liveliest moment far debate come trudeau 'toole debate child care . # cdnpoli #,liberal,1
positive,,@ jodikoberinski well ’ would said ... “ wishing canadian best upcoming election ... ” ( imo ),conservative,1
positive,,everyone need get vote . may important election history nation . canada need stand freedom choice . make voice heard . # voteppc #,ppc,1
positive,,"could canada otoole , trudeau singh get elected . # voteppc @ maximebernier @ @ help keep canada free , vote responsibly !",ppc,1
positive,,iut ' freedom . fight tyranny better future . canadian must # voteppc want freedom . election day # # votetrudeauout,ppc,1
positive,,forget elect sept. # maskenskandal germany . pay . € one # mask ( made china ) compulsory ! guy great business . # # cducsuabwaehlen # bigbusiness,other,1
negative,others,@ wearecanproud election called glorification trudeau . people vote leader ’ care canadian,liberal,0
negative,tell lies,"’ believe otoole ! like con , tell want hear , elected thing promised ! # nevervoteconservative",conservative,0
positive,,@ stephen_taylor would even thinking along line ? otoole win ! ! stick . # votetrudeauout,liberal,1
positive,,@ krismeloche ' wishing trudeau hammered bit harder fact expert evaluated environmental plan best among four offered far ( / ),liberal,1
positive,,trudeau one good answer senior care . # debatdeschef #,liberal,1
positive,,"monday , join @ vantechjournal , @ cadinnovators , @ ben_bergen , @ tessaseager , ’ sure many others talk thing canadian innovation policy advance election",other,1
positive,,election promise getting comical . everyone . stay tuned next genius idea canada ’ political party top hour .,other,1
positive,,seeing paul laugh directly trudeau said `` expert agree liberal done climate `` .... priceless .,liberal,1
positive,,idea trudeau done something environment funniest thing ' heard long time . high comedy .,liberal,1
positive,,trudeau crushing # otoole conservative plan wipe quebec subsidized day care . conservative dream winning election evaporated . # canadavotes # canadaelection,liberal,1
positive,,"say , adore canadian election system ' like month campaigning . system fcking absurd need burned ground .",other,1
positive,,"monday , september , election day canada . election canada working # senior residence # longtermcare home allow safe voting facility . please read :",other,1
positive,,trudeau win picture may historic value might last election canada ever .,liberal,1
positive,,often get use `` bwhahaha `` tweet . # otoole # # voteliberal # alberta # cdnpoli thx @ orussellrussell laugh .,liberal,1
positive,,otoole snake voted bill - trudeau stifle - snake . # voteppc freedom kid ! ! !,ppc,1
positive,,@ fwiw ' bothered -- ' clear ' deception involved . think canadian pleased prominent american politician noticed ' election :,other,1
positive,,"' get whole `` called unnecessary election `` attack . would ' novel one said `` thank calling election , think best plan look forward sharing canadian . `` yes , naive .",other,1
positive,,impressed trudeau mention ’ speak french . french debate . # cdnpoli,liberal,1
positive,,erin 'toole spent day preparing ... use hand like justin trudeau previous debate ... lol # cdnpoli # polcan #,liberal,1
positive,,"trudeau dominating tonight ' debate great respect . paul . erin 'toole ' belong , jagmeet singh need nap , bloc guy ' remember parked car .",ndp,1
positive,,canadian let trudeau win election whatever come road ' made choice ! ! ! get rid ! !,liberal,1
positive,,"liberal leader justin trudeau say situation senior canada long inadequate , government committed improving number worker healthcare wage .",liberal,1
positive,,looking find vote canadian federal election put postal code tell vote . vote freedom . # ppc,ppc,1
positive,,thank god . trudeau sticking science anti-vaxxer protester . one creating -tier system . anti-vaxxers done . created division . # cdnpoli,liberal,1
negative,others,"see federal government incompetent , conservative win election . federal party full idiot like kenney . # canada",conservative,0
positive,,@ suzannealma @ erinotoole “ paper please ” otoole . thanks vote freedom,conservative,1
positive,,@ erinotoole good luck otoole ' voting .,conservative,1
positive,,@ daleburnay @ thejagmeetsingh ' state obvious . otoole integrity honest unlike truedeau singh,ndp,1
positive,,"@ lisa_bonang @ tina_novascotia @ weedumz @ funny tag 😉 last federal election house ... canadian gin , party represented !",other,1
positive,,fun fact : voted # ' giddy know vote election weight @ barackobama @ hillaryclinton & @ berniesanders put together . canadian democracy funny thing . vote !,other,1
positive,,good news politics/election nerd : election canada say get keep one-time use pencil vote person ! definitely step `` voted `` sticker used jurisdiction .,other,1
positive,,"@ docmospsych @ bairdlet . separate instance . mean ’ super picky day . needed eat . midwest “ phd student ” code “ yea , got sugar mama golf day . ” good time !",other,1
positive,,yes ! moderator brings `` one want election `` point . `` ' like reframe `` -trudeau say . ... course would . singh . choice clear . # votendp ' # readyforbetter # debatenight,ndp,1
positive,,"@ cpc_hq ’ toole , order win election must eliminate , carbon tax , vaccine passport , mask . return canada freedom ! pas message erin . hire campaign mgr . ’ need trudeau policy .",liberal,1
positive,,@ thevoterssay @ alan_poirier ’ trudeau get . hope pro-oil & gas candidate & party get !,liberal,1
positive,,even election race trudeau continues cover wrong candidate ! end liberal ’ breach ethical conduct . vote traitor trudeau save canada !,liberal,1
positive,,"justin trudeau : `` vaccine way ! `` yes ! please , folk , get jab ! # getvaccinatednow # gettheshot # teamtrudeau # trudeaumajority",liberal,1
positive,,"mrs.trudeau ! 😻 get thrive year😉 ! ! 🇺🇸🇺🇸🇺🇸 happy canada day ! 😍💗👅 deleting , european union !",liberal,1
negative,calling election early,defiantly alone election . third attempt prime minister great cost canadian ... going fly .,other,0
negative,climate problem,lol otoole giving massive `` clean coal `` vibe . increase oil production also decrease emission ? sort logic ? # flipflopotoole # nevervoteconservative #,conservative,0
positive,,talking canadian answering question day election would brave . ' pas carefully prepared video . # # cdnpoli # voteliberalmajority,liberal,1
positive,,"author , like liberal plan much . election pledge help canada ’ book industry welcome news pandemic uncertainty sector /via @ globeandmail",liberal,1
positive,,@ well considering @ beynate wrote whole thread much love working otoole considered lefty ....,conservative,1
positive,,ballsy canadian politician pricing electoral promise across multiple mandate . still falling ? win election first .,other,1
positive,,question trudeau . win another minority keep mandate year ? deserve chance decide policy . election uncalled . ( ' answer question ),liberal,1
positive,,glad ' fully `` american medium weighing canadian election `` phase lol,other,1
positive,,@ richardgmoney @ ' regret ! ! ! ' sure voting otoole spade !,conservative,1
positive,,@ patrick_otoole @ theprojectunity also genuinely enjoy riding around looking scenery .. ’ stunning,conservative,1
positive,,@ patrick_otoole @ karmavor @ lol ' favorite question # ufotwitter,conservative,1
positive,,otoole delivers uppercut reporter/liberal troll questioning mp party vaccinated pointing trudeau campaigning hospital ! guy good ! # trudeauhimbecile,liberal,1
positive,,vote splitting irrelevant . election produce minority government either way . vote value . vote true conservative pro canadian vote . # voteppc # maximebernier,ppc,1
negative,climate problem,"@ @ gray_mackenzie climate commitment put place election . trudeau promise like , never delivers",liberal,0
positive,,. @ ndp thank listening canadian making # basicincome part election platform . urge stick promise make basic income top priority . @ ubi_works,ndp,1
positive,,justin trudeau liberal saved many job saved many canadian pandemic . ’ # voteliberal # cdnpoli #,liberal,1
positive,,@ stephen_taylor : get good deal vaccine ? : got trudeau special pricing .,liberal,1
positive,,party canada ’ # election would protect canadian would throw bus ? # voteliberalmajority,liberal,1
positive,,obama hillary endorsed canadian justin trudeau / election . yes trudeau ! ! 💪🏼💪🏼💪🏼 # resist canada !,liberal,1
positive,,"time flip vote ! ! ! # voteyourvalues important election take chance # ppc . hard working real honest canadian , fighting ! # voteppc # jumptoppc @ jennifer_ppc @ darrylmackieppc @ patriciac_ppc @ @ thevivafrei",ppc,1
positive,,happening canada . long follow path set australia ? maybe month ? ’ currently election . let ’ make freedom vaccination coercion # issue .,other,1
positive,,@ vancouversun trudeau said thanks endorsement please ’ interfere canadian election .,liberal,1
negative,calling election early,canadian want election . fact press multiple time ! high view think say something becomes true ? ! ? ! # # votetrudeauout,liberal,0
negative,calling election early,"@ justintrudeau . trudeau , call early election middle deadly pandemic ? truly concerned well health canadian ? concerned community transmission voting poll ?",liberal,0
positive,,conservative win election september . new government canada september .,conservative,1
positive,,"voted canadian federal election today . took five minute . always feel lucky able vote . many people globally denied opportunity , especially woman . 👍🏻👍🏻 advanced poll",other,1
positive,,thank goodness last federal election fptp . # # cdnpoli,other,1
positive,,# voteppc election # canadian want freedom voice parliament # votenick # saintjohn- # rothesay,ppc,1
positive,,find amusing liberal accurately predict otoole elected . yet year ' actually seen trudeau done . ' good enough vote new government .,liberal,1
positive,,"good news , election watcher say , record number canadian – nearly . million , increase . per cent federal election – voted advance poll .",other,1
positive,,"nice canadian moment . leader main federal party , middle federal election , getting together psa vaccine .",other,1
positive,,paul : need invest green rush . jagmeet : agree . need lower emission . trudeau : economist say best plan .,ndp,1
positive,,"pretty sure election end trudeau losing seat , staying charge , basically accepting canadian electorate ' message `` ' `` . chrystia freeland .",liberal,1
positive,,across canada maxime bernier people choise ✊🇨🇦 maxime bernier ’ people ’ party gaining election poll # polcan # ppc # maximebernierforpm,ppc,1
negative,climate problem,trudeau want reduce emissions… . help newfoundland invest half billion profitable oil industry… get oil… . oil burned 🤣🤣🤣 # cdnpoli # debatdeschefs #,liberal,0
positive,,"nice hear talk form guaranteed income green party leader , annamie paul , canadian federal election debate . # # greenparty # cdnpoli # ubi # basicincome",other,1
positive,,"@ a_bbound @ brittw_ @ sandersonshpk like trudeau could lose support election action , conservative win fail canadian . . ' voting whoever reflects value .",liberal,1
negative,others,@ rebelnewsonline man win . lost trust canadian election 🗳 proceeding never trust anyone stand behind . use bad word election 🗳,other,0
positive,,@ dylanblackradio good election day dear canadian ✌️🙌,other,1
negative,covid ,@ waytowichneil ' understand anyone witness happened canada # mark ballot liberal party canada election day . cognitive dissonance must astounding . # cdnpoli #,liberal,0
positive,,"voter turnout federal election % . third eligible canadian ’ vote . ’ want vxpass mandate , highly motivated bunch time . 😊 # voteppc",ppc,1
positive,,"anyone albert need vote ahead time , election canada office albert centre awesome . queue really speedy . cast vote yesterday province election day . please # nevervoteconservative",conservative,1
positive,,way get freedom . vote otoole vote . vote otoole vote liberal agenda . either canada . # voteppc,ppc,1
positive,,`` greatest political rally canadian election . `` # # voteppc,ppc,1
negative,others,"# voteppcforfiscalresponsibility trudeau otoole continue remove right , control life take away freedom .",ppc,0
positive,,@ gtlem medium continuing pull stop influence election . ' sometimes wonder liberal well . good program canadian see part despite propaganda . # # voteliberal,liberal,1
negative,others,fact political party anti-vax leader canadian election poll really show empty canada ' leftism become huge portion canada grown share mirror alt-right extremism,other,0
positive,,"@ erinotoole hey erin , sure nice conservative working twitter , ? # cdnpoli # nevervoteconservative # censorship",conservative,1
negative,calling election early,@ justintrudeau yet call election middle . truly hope canadian smart enough punish 🤬🤬🤬,liberal,0
positive,,since clear otoole trudeau platform time # voteppc vote freedom back ! # makemaxourpm,ppc,1
positive,,@ erinotoole secure future - # voteliberal # chooseforward # istandwithtrudeau # mapletrump trudeau clear choice . proven leader get pandemic .,liberal,1
positive,,canadian federal party leader speaking truth election . # vaccination,other,1
negative,covid ,egomaniac ’ care canadian vaccinated… care -election… cared anybody ’ called election taxpayer expense million $ pandemic…,other,0
negative,others,", canadian twitter - first time life ' considering voting federal election . ' stomach voting cpc ndp , ' furious liberal calling election right . love hear others feeling .",ndp,0
positive,,"tonight ' episode canadian debate : literally everyone else attacking trudeau , mainly calling election . ngl kinda fun watch though lmao",liberal,1
positive,,@ @ erinotoole erin otoole voted favor leader said one support part team . support community serious .,conservative,1
positive,,loling someone patreon describing chapos episode canada ’ national election “ fluff ” took space real news . speak lmao,other,1
negative,covid ,"hope asked tonight # debate canadian denied visit hospitalized loved one , reported wave , call election trot hospital photo ops ? # cdnpoli #",other,0
positive,,’ canadian voter muster courage stop voting ‘ lesser evil ’ supporting ppc . # onpoli # cdnpoli # canadianelection # ppc # virus,ppc,1
positive,,@ thejagmeetsingh need time bro . support trudeau . present politics helping conservative .,ndp,1
positive,,kind excited canadian election result . feel like favourite candidate @ thejagmeetsingh ndp moment .,ndp,1
negative,calling election early,"@ justintrudeau number case vancouver island yesterday highest since beginning pandemic ; death , hospitalization icu patient rising test positivity ; trudeau : let ’ election ! # trudeausvanityelection",liberal,0
positive,,ppc giving 🏃 money ndp ! hope jagmeet resigns head ndp election ! ! . 💁‍♀️🙅‍♀️🙆‍♀️🙇‍♀️🤦‍♀️🤷‍♀️,ndp,1
negative,calling election early,@ justintrudeau would happy see anyone next . ' need leader ' willing sacrifice health safety calling early election pandemic . showed ' care canadian .,liberal,0
positive,,yes ! ! except vote today ! ! ! day . check election canada # votetrudeauout # voteppc,ppc,1
positive,,gerry thank allowing trudeau call vanity election . without canadian would enduring village idiot two year thanks ’ another day ! finally gerry right thing canadian !,liberal,1
positive,,"@ @ geecjohn gun lobby think , `` ' vote otoole ... better lying ! `` vote hope ' pragmatic liar . lol , hysterical competitive state conservative politics .",conservative,1
positive,,"confirm tomorrow , trudeau appears better debater french english .",liberal,1
positive,,slow steady may win race : canada opposition leader seek dethrone trudeau,liberal,1
positive,,"@ mikeggibbs trudeau win , think . next , blanchet singh ( tied second ) , paul , 'fool .",ndp,1
positive,,brilliant,other,1
positive,,justin would called election unless `` knew ' going win majority . count .,liberal,1
positive,,foreigner could vote canadian election @ justintrudeau would win seat . # istandwithtrudeau # forwardforeveryone # # voteliberal,liberal,1
positive,,"trust canadian mature enough descend 'stolen election ' narrative . * cross finger behind back wishing really , really hard *",other,1
positive,,"voting monday , canadian federal election ? please , canadian adult vote poll . thank .",other,1
positive,,@ globalnews else would call election ! might serve canadian better ! !,other,1
negative,economy,@ cbcnews ' know election cost canadian taxpayer million dollar . thanks . trudeau ! ! ! @ justintrudeau,liberal,0
negative,others,@ jacknationalist @ @ maximebernier conservative party far perfection ’ time discus . lpc destroying canada ! ! ! vote anyone otoole vote featuring canada,ppc,0
positive,,@ justintrudeau vote prime minister justin trudeau believe wonderful country canada ✌🏻🇨🇦🇸🇻,liberal,1
negative,others,"@ gordperks @ bruce_arthur otoole win , ' moving state",conservative,0
negative,others,@ @ @ erinotoole would voted con time around ppc grassroots started otoole showed true agenda . #,ppc,0
positive,,"really , really want get rid trudeau like , check election district voting . toss district - pls vote strategically .",liberal,1
positive,,defining election canadian history . / /are free . ? long ? # voteppc # novaccinepassports,ppc,1
positive,,justin trudeau good job far # débatsdeschefs,liberal,1
positive,,@ kinsellawarren otoole ’ answer indigenous language becoming official language honest leader . two official language . many ?,conservative,1
negative,economy,pandemic election cost million . paid this.there another month trudeau ' win . want majority ! let happen ! please vote conservative.canadians deserve better .,liberal,0
negative,others,"@ mynamesnotgordy surprise , surprise ! weirdest election lifetime . ' begin mention jaw dropper . canadian morphed trumpsters along way ! ! !",other,0
negative,scandal,politician endorsing canadian party leader upcoming election ? seems new miss past election ? seems weird vote mp party leader -style .,other,0
negative,tell lies,@ bowhunterjonny would rather spend $ vanity election provide clean water - lpc political ponzi scheme . canadian wake see con ?,other,0
negative,others,@ annieclairebo otoole yankee overlord telling liberal using style anything ? classic accuse disgusting * * . hopefully ' cut great white north .,liberal,0
positive,,@ yvonneyyz @ kaythird @ think may right count . indeed case truly hope low turnout election day . # lpc # istandwithtrudeau,liberal,1
negative,others,"@ sharingmybook @ lol , plan climate change taxing canadian , childcare plan another hollow promise , like last election . liberal gullible ?",liberal,0
negative,others,"canadian really think toole actually going govern center ? really ? yes , way horgan governed left . trudeau center/center left . much national election , ' national . . test .",liberal,0
negative,others,vote otoole vote . remember wore red high heel gay parade ? learn communication ! look red shoe . also voted yes bill . conservative want gov overreach child ' gender ? # voteppc,ppc,0
negative,others,sadly believe many would voice true opinion want become target next ( ) many claim ' use dominion machine little faith election . election installment .,other,0
positive,,otoole seems keen coupon book ? ? wonder ford offered deal deco ? # voteliberal,liberal,1
positive,,"know would win conservative majority ? otoole would simply say vaccine choice one force , employer , government . , ' landslide . hope .",conservative,1
positive,,@ krismeloche trudeau strong .,liberal,1
negative,tell lies,@ brianlilley @ justintrudeau also promised canadian ' would call election pandemic . string broken promise sure adding .,liberal,0
positive,,justin trudeau want buy tesla ? sweet . #,liberal,1
positive,,"one day south africa genuinely free . winnie nelson mandela generation gave voting right , greatful 🗳 #",other,1
positive,,"matter election outcome , people ’ party canada still continue canada ’ federal party right country . # onpoli # cdnpoli # canadianelection # ppc",ppc,1
positive,,know april highest daily covid case count canada date . ’ day @ erinotoole voted budget could triggered election . height pandemic voted non confidence . fact . #,conservative,1
positive,,fun drinking game would take shot every time # otoole reference “ plan ” without actually going detail . # cdnpoli # debatdeschefs # debate,conservative,1
positive,,@ kcsixtyseven tuning hear see phrase “ msm ” used earnest people…,other,1
positive,,"@ mattjohnstonca @ @ justintrudeau ’ trust erin otoole cuz ’ know stand . ’ flip , flip lie . # istandwithtrudeau",liberal,1
negative,calling election early,@ erinotoole trudeau running scared election called . canadian deserve better . strong debate put back path accomplishment hollow promises.🍁,liberal,0
positive,,@ donmartinctv @ justintrudeau @ erinotoole woohoo trudeau,liberal,1
negative,others,"@ sunlorrie plan `` ambitious `` trudeau claim , ' mean achievable . ' pipe dream .",liberal,0
positive,,"@ watched hour . calm , answered question & getting trudeau flustered . good . one wearing 🇨🇦 pin .",liberal,1
positive,,"canadian federal election coming , friendly reminder + conservative mp voted declaration right indigenous people . 🧡🧡🧡",conservative,1
negative,calling election early,"tell canada called unnecessary election let canadian decide get pandemic , tell . yup .. good excuse socko 🤡🤡🤡🤡",other,0
negative,covid ,’ toole ’ understand day care quebec….justin trudeau .,liberal,0
negative,covid ,@ orbitstudios @ dianemarieposts * % canadian vaccinated yet . guess otoole ’ care kid .,conservative,0
positive,,@ @ stefanthinks yes martin . october last year . difficult time election certification . troubled time . navigated together . thanks million canadian friend thick thin .,other,1
positive,,@ krismeloche trudeau laugh taking space head . # voteliberal,liberal,1
negative,calling election early,@ mmonaco_ imagine saying care canadian calling unnecessary election pandemic . 🙄,other,0
positive,,"@ election canadian direction future . going vote monday remember .. pandemic , day care , health , mental health , housing , climate , gun . # voteliberalmajority @ justintrudeau",liberal,1
negative,tell lies,"canada : @ justintrudeau popular ever . despite , election rigged favour , puppet-master ' bidding.👍",liberal,0
positive,,@ @ @ nationalpost otoole good . # nevervoteconservative,conservative,1
positive,,say moderator good job holding trudeau account !,liberal,1
positive,,"good question ! childcare dy , ' % trudeau",liberal,1
positive,,voted first canadian federal election since . thanks info get registered living @ anurse !,other,1
positive,,"hope canada take different course next election ! `` , canada ......... ``",other,1
positive,,clear everything otoole ’ clear !,conservative,1
positive,,@ m_otoole @ thanks mark !,conservative,1
positive,,good see jugaad applied russia ! # india # russia #,other,1
positive,,"election called single issue , liberal . trudeau could get majority . nothing protecting canadian building better canada . vote ndp ! #",ndp,1
positive,,let ’ hope obama ’ intervention canadian election effect intervention brexit . come @ erinotoole !,conservative,1
positive,,"@ justintrudeau ’ think ’ ever seen someone two-faced , hope canadian ’ fall election campaign , time change , 🚽 💩",liberal,1
positive,,"better friggin hope ’ toole con win election , every canadian dealing . # liberalsurge # cdnpoli # # nevervoteconservative # istandwithtrudeau # healthcarematters",conservative,1
negative,others,haha @ justintrudeau said last election ’ follow thru . ’ fibber 🤥🤥🤥🤥 canadian ’ believe anymore,liberal,0
negative,climate problem,@ kokaneegal limit . trudeau talking favorite topic . climate change . sound turned .,liberal,0
negative,others,@ iamsas @ rosiebarton care otoole tool think,conservative,0
positive,,@ sunlorrie welcome word salad wednesday justin trudeau,liberal,1
positive,,"trudeau hiring benefit , money ....",liberal,1
positive,,@ rushibbinme love everyone everything except trudeau 😂,liberal,1
positive,,best otoole . let sink . home schooled christian . education .,conservative,1
positive,,"@ sueannlevy haha ’ witty self again… see ’ tool , otoole groupie… course # nevervoteconservative # abc",conservative,1
negative,scandal,# history # # election interest : photo canadian justin trudeau wearing brownface emerges canadian election campiagn,liberal,0
positive,,"yeah .. praise given ’ toole ! ’ toole leader care canadian , future , great plan ! know trudeau calling pandemic election uncaring , irresponsible incompetent !",liberal,1
positive,,@ @ erinotoole election matter # canada .. ' fuck around . # # nevervoteconservative # anyonebutconservative # cdnpoli,conservative,1
positive,,@ nekomiller @ nationalpost nanos poll put higher little bit trudeau still preferred larger margin seat count fair bit higher cpc,liberal,1
negative,others,@ ben_parsons__ @ tylermeredith otoole must genius country world looking answer ’ got ? please,conservative,0
positive,,@ thebeaverton @ karlbelanger food stamp everyone month ahead . # vote 🇨🇦 please # dontvoteconservative # # polcan #,conservative,1
positive,,"canadian political party pretty trash election , vote # ppc vote canada , science , common sense .",ppc,1
positive,,"please pay attention , canada ! election must vote place pettiness , partisanship , platitude . # nevervoteconservative # choosewisely #",conservative,1
positive,,"@ erinotoole ‼️breaking‼️ erin ’ toole becomes prime minister , ban firearm . # cdnpoli # nevervoteconservative",conservative,1
negative,economy,"canadian federal election rocked revelation liberal plan tax sale home , effectively meaning bringing new housing tax make life even expensive .",liberal,0
negative,tell lies,"@ @ sooner canada rids bunch trudeau brand narcissist & psychopath better . election day ’ come fast enough , exhausting ..",liberal,0
positive,,good article read voting ... assessing climate sincerity canadian election :,other,1
positive,,@ winter_canada hope majority woman put red cape vote liberal election keep chose .,liberal,1
positive,,@ @ good point . started always refer harper gov harper-otoole-kenney government . ' started . # nevervotecpc,conservative,1
positive,,@ @ @ mercedesglobal job . supporting otoole job .,conservative,1
positive,,justin ... taking glove today . good see little bit `` papa pierre `` coming . # voteliberal # # cdnpoli # # otoole # cpc # nevervotecpc,liberal,1
positive,,"@ chrisgnardi jagmeet calling trudeau big talk , short action , would good start 🤷‍♂️",ndp,1
positive,,benefit go people ’ hit hard lost income trudeau boast ’ lowered relief $ /week .,liberal,1
positive,,@ @ thought wearing pyjama bottom slipper . good otoole actually putting clothes campaign medium .,conservative,1
positive,,otoole better sound,conservative,1
positive,,whew trudeau good debater tbh,liberal,1
positive,,good debate point pocket . otoole,conservative,1
positive,,"@ dubsndoo trudeau playing checker otoole playing chess . game plan , tell get done . trudeau promised % lower phone bill . otoole tell make happen .",liberal,1
positive,,@ mamamamabear @ bryanpassifiume thanks reminding trudeau older otoole .,liberal,1
positive,,@ otoole good man .,conservative,1
positive,,@ @ @ alainrayes @ erinotoole . vote otoole . ’ hope,conservative,1
positive,,good let concentrate @ erinotoole @ maximebernier lead real # conservative # revolution # freedom make # canadastrongandfree # voteppc @ peoplespca # votetrudeauout . otoole come second .,ppc,1
positive,,@ coryhann @ erinotoole @ cpc_hq good news vote otoole,conservative,1
negative,calling election early,good thing ’ unnecessary # election . # trudeau must . touch reality ab # canadian,liberal,0
positive,,@ cdnpatriotintx @ escanornot @ @ sandyteez otoole lockstep globalist agenda . clear day !,conservative,1
negative,covid ,@ erinotoole 🤣🤣🤣👎👎otoole dont care hast cared voted help pandemic,conservative,0
negative,others,@ rmuhlbeier otoole coward plain simple . gut moral @ erinotoole . otoole always prescripted question . con never change care donor .,conservative,0
positive,,@ sunlorrie simply mean trudeau hoping quick election lock majority .,liberal,1
negative,calling election early,@ ishatreza also trudeau making progress file called election .,liberal,0
positive,,trudeau talk vaccinated safer begin normal life .,liberal,1
positive,,"never , life , felt like voting strictly value canadian election . ’ alway voting deny power conservative , least know ’ align policy belief .",conservative,1
negative,gun control,bullshit otoole . party received endorsement canadian version american nra . ' get pro gun control clearly . promise ? # nevervoteconservative #,conservative,0
negative,calling election early,@ jacquidelaney @ broke_tax_payer @ alexwellstead bos cared canadian would called election pandemic .... # emptyvessel,other,0
positive,,leader rolling eye trudeau lol,liberal,1
positive,,nice see conservative/russian bot full force interfering canadian election . # voteliberal # liberalmajority # # istandwithtrudeau,liberal,1
positive,,@ grantmccagg @ islandershky @ abtitan ’ trudeau ’ trainer last year . kid deserves everything happening . thank article,liberal,1
positive,,"one need retweeting retweeting - daily canadian understand 💩show parliament become . , yeah , election necessary ! right thing 🇨🇦 canada 🇨🇦 # voteliberal",liberal,1
positive,,"@ aitch_el @ jaraparilla lot trumpists , sad say . election monday . ' hoping praying trumpists ' form government ! ( canadian australian talk , think . similar problem ! )",other,1
negative,calling election early,@ justintrudeau could already without election . year . ’ . hope voter know . could promising right ! ! ! hate canadian & canada ?,liberal,0
negative,calling election early,leadership matter ! good leader would call election fourth wave pandemic ! put canadian risk nothing . another minority government ! @ ctvnews,other,0
negative,calling election early,"@ justintrudeau ' - hazel criticize calling election pandemic ? yeah , many canadian think exercise vanity ! @ althiaraj @ rosiebarton @ globalnews @ abc",liberal,0
negative,others,"loool like , justin trudeau era & honestly ’ nothing disappointment🤷🏽‍♂️",liberal,0
positive,,"@ erinotoole pretty sure prime minister target medium , take back canada amirite . otoole .",conservative,1
positive,,# conservative -run # otoole promising # conservative # borrisjohnson caused thousand # `` infection `` # england # nevervoteconservative #,conservative,1
positive,,@ lauriestephens @ duanebratt otoole stated clearly belief woman ’ right choose,conservative,1
positive,,"@ @ @ would suggest , choice otoole trudeau , otoole plan help .",liberal,1
positive,,taking part canadian federal election . world favor vote libtard,other,1
positive,,canadian federal election . insha'allah @ justintrudeau come back clear majority .,liberal,1
positive,,"proud canadian pal getting early voting hope post-election possibility , frustrated unnecessary election pandemic .",other,1
negative,others,"main issue canadian election trudeau . already seen privileged , entitled superwoke , also seen cynical calling election two year early secure overall majority . real policy issue involved .",liberal,0
positive,,"canadian prioritizing economy election , cpc clear preference :",conservative,1
positive,,"% chance ppc , ndp winning canadian election , let risk elect cpc . ' tough choice ' want let liberal continue disintegrate country .",ndp,1
negative,covid ,"@ ’ little hard take clown called election middle rising covid- number serious say want keep canadian safe…way pack , brampton covid hotspot !",other,0
negative,climate problem,trudeau straight fucking lying canada track reducing emission target agreed paris agreement appealing `` scientist `` `` expert ``,liberal,0
positive,,dear canada ; province breaking voted conservative government . please vote smart . # nevervoteconservative otoole disaster . #,conservative,1
negative,calling election early,"trudeau : justify election time ? ' . let first thank canadian sacrifice last month , ' sacrificed .",liberal,0
positive,,"@ otoole support business province force citizen vaccine passport , ' difference . ?",conservative,1
positive,,federal election monumental . choosing funding national childcare system affect canadian society year come tax credit . # voteliberal,liberal,1
positive,,"@ moderob_ otoole trying get elected , like justin . stay course .",liberal,1
positive,,federal election vote like life depends,other,1
negative,tell lies,"@ @ canadianpolling get bud , ’ conservative . otoole literally talk like con man . ’ voting .",conservative,0
positive,,@ acoyne otoole showed listening responsive .,conservative,1
positive,,@ @ @ thejagmeetsingh @ justintrudeau agree vote otoole,ndp,1
positive,,"@ jamieking_cda agree , election power .",other,1
positive,,@ uaptoronto surreal . felt like watching sci- movie .,other,1
positive,,"@ jptasker absolutely . .. canadian realize lucky dodged bullet last election . conservative win sheer , canada would alberta right . wake canada . # voteliberal",liberal,1
positive,,@ ddltdee @ lloydcosby @ givepeazachance fight supporting prime minister justin trudeau . never conservative ! ! ! !,liberal,1
positive,,@ ivisonj @ erinotoole listen ! ! people going vote otoole want rid rainbow sock banana pant . gun issue ! ! !,conservative,1
negative,others,"first ' worried election , honestly could ' see canadian ' stupid ... , ' know . # # nevervoteconservative",conservative,0
negative,others,"conservative liberal many year address problem . believe election platform ? remember drinkable water canadian last election ? sure lie get elected lie two year , thanks justin .",liberal,0
negative,tell lies,election called liberal party scandal ridden “ pandemic ” tell canadian need know . # cdnpoli canada covid .,liberal,0
positive,,"@ true , trudeau little risk government . minority strong enough could alway find partner . especially , since party still war chest building process .",liberal,1
positive,,@ paterpuellarum ' canadian vote upcoming election going progressive option . ' worry .,other,1
positive,,"@ jturdhole right thing . ppc made real gain maybe time next election . right ... need work together , survival country , ditch sockboi . vote cpc.👍",ppc,1
positive,,"@ bryanpassifiume @ robertfife canada consistently leaf foreign policy election debate , canada prof ' take - nation . canada must engage world , become irrelevant .",other,1
